real.type	FS	HS	UR	rep	par	loci	sim	total	pFS	pHS	pUR
HS	0	1320	44	94	10	100	Parents = 10 & Loci = 100	1364	0	0.968	0.032
UR	0	0	6782	94	10	100	Parents = 10 & Loci = 100	6782	0	0	1
FS	1042	0	0	95	10	100	Parents = 10 & Loci = 100	1042	1	0	0
HS	0	2344	0	95	10	100	Parents = 10 & Loci = 100	2344	0	1	0
UR	0	0	6514	95	10	100	Parents = 10 & Loci = 100	6514	0	0	1
FS	1230	0	0	96	10	100	Parents = 10 & Loci = 100	1230	1	0	0
HS	0	2790	0	96	10	100	Parents = 10 & Loci = 100	2790	0	1	0
UR	0	0	5880	96	10	100	Parents = 10 & Loci = 100	5880	0	0	1
FS	1418	0	0	97	10	100	Parents = 10 & Loci = 100	1418	1	0	0
HS	0	3068	0	97	10	100	Parents = 10 & Loci = 100	3068	0	1	0
UR	0	0	5414	97	10	100	Parents = 10 & Loci = 100	5414	0	0	1
FS	1110	0	0	98	10	100	Parents = 10 & Loci = 100	1110	1	0	0
HS	0	2602	0	98	10	100	Parents = 10 & Loci = 100	2602	0	1	0
UR	0	0	6188	98	10	100	Parents = 10 & Loci = 100	6188	0	0	1
FS	1166	0	0	99	10	100	Parents = 10 & Loci = 100	1166	1	0	0
HS	0	2020	0	99	10	100	Parents = 10 & Loci = 100	2020	0	1	0
UR	0	0	6714	99	10	100	Parents = 10 & Loci = 100	6714	0	0	1
FS	2072	2	0	9	10	100	Parents = 10 & Loci = 100	2074	0.999	0.001	0
HS	0	1418	0	9	10	100	Parents = 10 & Loci = 100	1418	0	1	0
UR	0	0	6408	9	10	100	Parents = 10 & Loci = 100	6408	0	0	1
FS	1532	0	0	1	10	200	Parents = 10 & Loci = 200	1532	1	0	0
HS	0	2816	0	1	10	200	Parents = 10 & Loci = 200	2816	0	1	0
UR	0	0	5552	1	10	200	Parents = 10 & Loci = 200	5552	0	0	1
FS	722	0	0	10	10	200	Parents = 10 & Loci = 200	722	1	0	0
HS	0	3224	0	10	10	200	Parents = 10 & Loci = 200	3224	0	1	0
UR	0	0	5954	10	10	200	Parents = 10 & Loci = 200	5954	0	0	1
FS	1208	0	0	100	10	200	Parents = 10 & Loci = 200	1208	1	0	0
HS	0	2030	0	100	10	200	Parents = 10 & Loci = 200	2030	0	1	0
UR	0	0	6662	100	10	200	Parents = 10 & Loci = 200	6662	0	0	1
FS	958	0	0	11	10	200	Parents = 10 & Loci = 200	958	1	0	0
HS	0	3020	0	11	10	200	Parents = 10 & Loci = 200	3020	0	1	0
UR	0	0	5922	11	10	200	Parents = 10 & Loci = 200	5922	0	0	1
FS	1338	0	0	12	10	200	Parents = 10 & Loci = 200	1338	1	0	0
HS	0	2718	0	12	10	200	Parents = 10 & Loci = 200	2718	0	1	0
UR	0	0	5844	12	10	200	Parents = 10 & Loci = 200	5844	0	0	1
FS	1024	0	0	13	10	200	Parents = 10 & Loci = 200	1024	1	0	0
HS	0	3312	0	13	10	200	Parents = 10 & Loci = 200	3312	0	1	0
UR	0	0	5564	13	10	200	Parents = 10 & Loci = 200	5564	0	0	1
FS	1870	0	0	14	10	200	Parents = 10 & Loci = 200	1870	1	0	0
HS	0	3964	0	14	10	200	Parents = 10 & Loci = 200	3964	0	1	0
UR	0	0	4066	14	10	200	Parents = 10 & Loci = 200	4066	0	0	1
FS	1956	0	0	15	10	200	Parents = 10 & Loci = 200	1956	1	0	0
HS	0	1400	0	15	10	200	Parents = 10 & Loci = 200	1400	0	1	0
UR	0	0	6544	15	10	200	Parents = 10 & Loci = 200	6544	0	0	1
FS	1410	0	0	16	10	200	Parents = 10 & Loci = 200	1410	1	0	0
HS	0	2786	0	16	10	200	Parents = 10 & Loci = 200	2786	0	1	0
UR	0	0	5704	16	10	200	Parents = 10 & Loci = 200	5704	0	0	1
FS	1248	0	0	17	10	200	Parents = 10 & Loci = 200	1248	1	0	0
HS	0	2664	0	17	10	200	Parents = 10 & Loci = 200	2664	0	1	0
UR	0	0	5988	17	10	200	Parents = 10 & Loci = 200	5988	0	0	1
FS	2426	0	0	18	10	200	Parents = 10 & Loci = 200	2426	1	0	0
HS	0	2338	0	18	10	200	Parents = 10 & Loci = 200	2338	0	1	0
UR	0	0	5136	18	10	200	Parents = 10 & Loci = 200	5136	0	0	1
FS	1130	0	0	19	10	200	Parents = 10 & Loci = 200	1130	1	0	0
HS	0	2330	0	19	10	200	Parents = 10 & Loci = 200	2330	0	1	0
UR	0	0	6440	19	10	200	Parents = 10 & Loci = 200	6440	0	0	1
FS	1044	0	0	2	10	200	Parents = 10 & Loci = 200	1044	1	0	0
HS	0	2580	0	2	10	200	Parents = 10 & Loci = 200	2580	0	1	0
UR	0	0	6276	2	10	200	Parents = 10 & Loci = 200	6276	0	0	1
FS	1004	0	0	20	10	200	Parents = 10 & Loci = 200	1004	1	0	0
